state,state abbreviation,locality,locality type,address,Phone
Minnesota,MN,Aitkin County,County,"307 2nd St NW Rm 121  Aitkin, MN 56431",218-927-7354
Minnesota,MN,Anoka County,County,"2100 3rd Ave, Suite W130  Anoka, MN 55303-5031",763-324-1300
Minnesota,MN,Becker County,County,"915 Lake Ave  Detroit Lakes, MN 56501",218-846-7311
Minnesota,MN,Beltrami County,County,"701 Minnesota Ave NW Ste 220  Bemidji, MN 56601-3178",218-333-8476
Minnesota,MN,Benton County,County,"531 Dewey St  Foley, MN 56329-0129",320-968-5027
Minnesota,MN,Big Stone County,County,"20 2nd St SE Ste 103  Ortonville, MN 56278",320-839-6366
Minnesota,MN,Blue Earth County,County,"204 S 5th St  Mankato, MN 56001",507-304-4341
Minnesota,MN,Brown County,County,"14 South State St  New Ulm, MN 56073",507-233-6614
Minnesota,MN,Carlton County,County,"301 Walnut Ave  Carlton, MN 55718",218-384-9127
Minnesota,MN,Carver County,County,"600 E Fourth St  Chaska, MN 55318-2102",952-361-1941
Minnesota,MN,Cass County,County,"303 Minnesota Ave W  Walker, MN 56484",218-547-7275
Minnesota,MN,Chippewa County,County,"629 N 11th St  Montevideo, MN 56265",320-269-7447
Minnesota,MN,Chisago County,County,"313 N Main St Rm 271  Center City, MN 55012-7656",651-213-8509
Minnesota,MN,Clay County,County,"807 N 11th St  Moorhead, MN 56560",218-299-5006
Minnesota,MN,Clearwater County,County,"213 Main Ave N Dept 202  Bagley, MN 56621-8304",218-694-6520
Minnesota,MN,Cook County,County,"411 W 2nd St  Grand Marais, MN 55604",218-387-3642
Minnesota,MN,Cottonwood County,County,"900 3rd Ave  Windom, MN 56101",507-831-1342
Minnesota,MN,Crow Wing County,County,"326 Laurel St - Historic Courthouse Ste 22  Brainerd, MN 56401",218-824-1051
Minnesota,MN,Dakota County,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
Minnesota,MN,Dodge County,County,"721 Main Street North, Dept 45  Mantorville, MN 55955-2204",507-635-6239
Minnesota,MN,Douglas County,County,"305 8th Ave W  Alexandria, MN 56308",320-762-3077
Minnesota,MN,Faribault County,County,"415 N Main St  Blue Earth, MN 56013",507-526-6212
Minnesota,MN,Fillmore County,County,"101 Fillmore St  Preston, MN 55965",507-765-3811
Minnesota,MN,Freeborn County,County,"411 S Broadway  Albert Lea, MN 56007",507-377-5121
Minnesota,MN,Goodhue County,County,"509 W 5th St  Red Wing, MN 55066",651-385-3040
